year_month,reason,count
2021-04,"It contains threats, lewdness or hate speech",153
2021-04,It violates ApartmentRatings' privacy standards,103
2021-04,"It was posted by a competitor, ex-employee or evicted resident",74
2021-04,It was posted by someone affiliated with the community,48
2021-04,It's for the wrong community,45
2021-05,It contains false information,84
2021-05,It contains irrelevant information that is not useful,33
2021-05,It contains promotional materials,7
2021-05,"It contains threats, lewdness or hate speech",116
2021-05,It violates ApartmentRatings' privacy standards,75
2021-05,"It was posted by a competitor, ex-employee or evicted resident",55
2021-05,It was posted by someone affiliated with the community,32
2021-05,It's for the wrong community,14
2021-06,It contains false information,2
2021-06,It contains promotional materials,1
2021-06,It was posted by someone affiliated with the community,1
2021-06,It's for the wrong community,1
2021-07,It violates ApartmentRatings' privacy standards,2
2021-08,It contains false information,44
2021-08,It contains irrelevant information that is not useful,5
2021-08,It contains promotional materials,11
2021-08,It violates ApartmentRatings' privacy standards,6
2021-08,"It was posted by a competitor, ex-employee or evicted resident",18
2021-08,It was posted by someone affiliated with the community,24
2021-08,It's for the wrong community,8
2021-09,"It contains threats, lewdness or hate speech",1
